+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                URI                 |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| 2903  | 0   | 2900 | 0   | 3   | 0   | GET    | /api/user/[0-9a-zA-Z]+/icon        | 0.004  | 0.772  | 210.756 | 0.073  | 0.160  | 0.224  | 0.440  | 0.082  | 0.000     | 99080.000  | 165871325.000 | 57137.900 |
| 360   | 0   | 356  | 0   | 4   | 0   | GET    | /api/livestream/[0-9]+/reaction    | 0.004  | 1.568  | 151.520 | 0.421  | 1.036  | 1.224  | 1.456  | 0.388  | 0.000     | 37464.000  | 3941621.000   | 10948.947 |
| 23    | 0   | 21   | 0   | 2   | 0   | POST   | /api/livestream/[0-9]+/moderate    | 0.284  | 11.176 | 103.560 | 4.503  | 7.400  | 7.780  | 11.176 | 2.247  | 0.000     | 23.000     | 483.000       | 21.000    |
| 327   | 0   | 327  | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/livecomment | 0.004  | 0.940  | 86.136  | 0.263  | 0.524  | 0.632  | 0.712  | 0.180  | 3.000     | 41358.000  | 4620449.000   | 14129.813 |
| 53    | 0   | 52   | 0   | 1   | 0   | GET    | /api/livestream/search             | 0.072  | 3.536  | 74.212  | 1.400  | 2.380  | 2.536  | 3.536  | 0.842  | 0.000     | 126654.000 | 3698695.000   | 69786.698 |
| 375   | 0   | 370  | 0   | 5   | 0   | POST   | /api/livestream/[0-9]+/livecomment | 0.004  | 0.728  | 72.116  | 0.192  | 0.312  | 0.380  | 0.532  | 0.098  | 0.000     | 2696.000   | 741313.000    | 1976.835  |
| 238   | 0   | 235  | 0   | 2   | 1   | POST   | /api/register                      | 0.004  | 0.696  | 51.116  | 0.215  | 0.368  | 0.448  | 0.584  | 0.108  | 0.000     | 504.000    | 110224.000    | 463.126   |
| 99    | 0   | 95   | 0   | 4   | 0   | POST   | /api/livestream/reservation        | 0.164  | 1.076  | 46.424  | 0.469  | 0.872  | 0.932  | 1.076  | 0.332  | 0.000     | 1492.000   | 107183.000    | 1082.657  |
| 305   | 0   | 305  | 0   | 0   | 0   | POST   | /api/livestream/[0-9]+/reaction    | 0.008  | 0.760  | 36.236  | 0.119  | 0.220  | 0.292  | 0.392  | 0.086  | 1552.000  | 2238.000   | 562248.000    | 1843.436  |
| 236   | 0   | 235  | 0   | 1   | 0   | POST   | /api/icon                          | 0.008  | 0.992  | 27.144  | 0.115  | 0.236  | 0.296  | 0.424  | 0.106  | 0.000     | 16.000     | 3652.000      | 15.475    |
