+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                URI                 |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
| 243   | 0   | 241  | 0   | 2   | 0   | POST   | /api/login                         | 0.004  | 0.488  | 14.144  | 0.058  | 0.156  | 0.220  | 0.404  | 0.082  | 0.000     | 64.000     | 128.000       | 0.527     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                    | 10.208 | 10.208 | 10.208  | 10.208 | 10.208 | 10.208 | 10.208 | 0.000  | 27.000    | 27.000     | 27.000        | 27.000    |
| 74    | 0   | 74   | 0   | 0   | 0   | GET    | /api/livestream                    | 0.016  | 0.384  | 7.724   | 0.104  | 0.212  | 0.272  | 0.384  | 0.076  | 3.000     | 22521.000  | 119839.000    | 1619.446  |
| 79    | 0   | 79   | 0   | 0   | 0   | GET    | /api/tag                           | 0.004  | 0.344  | 4.644   | 0.059  | 0.148  | 0.240  | 0.344  | 0.069  | 6089.000  | 6095.000   | 481301.000    | 6092.418  |
| 44    | 0   | 44   | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/report      | 0.004  | 0.472  | 4.220   | 0.096  | 0.308  | 0.420  | 0.472  | 0.124  | 3.000     | 11024.000  | 52363.000     | 1190.068  |
| 31    | 0   | 31   | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/ngwords     | 0.004  | 0.264  | 3.712   | 0.120  | 0.192  | 0.204  | 0.264  | 0.057  | 5.000     | 131.000    | 533.000       | 17.194    |
| 35    | 0   | 35   | 0   | 0   | 0   | POST   | /api/livestream/[0-9]+/enter       | 0.004  | 0.312  | 2.708   | 0.077  | 0.212  | 0.280  | 0.312  | 0.082  | 0.000     | 0.000      | 0.000         | 0.000     |
| 7     | 0   | 7    | 0   | 0   | 0   | GET    | /api/user/[0-9a-zA-Z]+/statistics  | 0.028  | 0.484  | 1.836   | 0.262  | 0.484  | 0.484  | 0.484  | 0.158  | 133.000   | 145.000    | 958.000       | 136.857   |
| 25    | 0   | 25   | 0   | 0   | 0   | DELETE | /api/livestream/[0-9]+/exit        | 0.004  | 0.264  | 1.428   | 0.057  | 0.108  | 0.224  | 0.264  | 0.061  | 0.000     | 0.000      | 0.000         | 0.000     |
| 5     | 0   | 5    | 0   | 0   | 0   | GET    | /api/user/[0-9a-zA-Z]+/livestream  | 0.132  | 0.312  | 1.104   | 0.221  | 0.312  | 0.312  | 0.312  | 0.065  | 1252.000  | 1282.000   | 6314.000      | 1262.800  |
| 10    | 0   | 10   | 0   | 0   | 0   | GET    | /api/user/[0-9a-zA-Z]+             | 0.016  | 0.092  | 0.288   | 0.029  | 0.076  | 0.092  | 0.092  | 0.035  | 38.000    | 247.000    | 1192.000      | 119.200   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/statistics  | 0.008  | 0.008  | 0.016   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 100.000   | 102.000    | 202.000       | 101.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+             | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 1492.000  | 1492.000   | 1492.000      | 1492.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/payment                       | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 21.000    | 21.000     | 21.000        | 21.000    |
+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
