+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                URI                 |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
| 196   | 0   | 195  | 0   | 1   | 0   | POST   | /api/livestream/[0-9]+/reaction    | 0.008  | 1.092  | 33.752  | 0.172  | 0.336  | 0.424  | 0.728  | 0.142  | 0.000     | 2188.000   | 356146.000    | 1817.071  |
| 199   | 0   | 199  | 0   | 0   | 0   | POST   | /api/icon                          | 0.012  | 1.232  | 31.120  | 0.156  | 0.316  | 0.544  | 1.004  | 0.176  | 14.000    | 16.000     | 3076.000      | 15.457    |
| 208   | 0   | 205  | 0   | 3   | 0   | POST   | /api/login                         | 0.004  | 0.836  | 17.996  | 0.087  | 0.280  | 0.320  | 0.564  | 0.132  | 0.000     | 64.000     | 128.000       | 0.615     |
| 76    | 0   | 76   | 0   | 0   | 0   | GET    | /api/livestream                    | 0.016  | 0.744  | 12.872  | 0.169  | 0.412  | 0.460  | 0.744  | 0.155  | 3.000     | 22490.000  | 108317.000    | 1425.224  |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                    | 11.084 | 11.084 | 11.084  | 11.084 | 11.084 | 11.084 | 11.084 | 0.000  | 27.000    | 27.000     | 27.000        | 27.000    |
| 74    | 0   | 74   | 0   | 0   | 0   | GET    | /api/tag                           | 0.004  | 0.784  | 8.028   | 0.108  | 0.248  | 0.428  | 0.784  | 0.138  | 6089.000  | 6095.000   | 450814.000    | 6092.081  |
| 28    | 0   | 27   | 0   | 0   | 1   | GET    | /api/livestream/[0-9]+/report      | 0.004  | 0.688  | 3.724   | 0.133  | 0.524  | 0.608  | 0.688  | 0.185  | 3.000     | 10975.000  | 49217.000     | 1757.750  |
| 27    | 0   | 27   | 0   | 0   | 0   | POST   | /api/livestream/[0-9]+/enter       | 0.004  | 0.876  | 2.780   | 0.103  | 0.236  | 0.424  | 0.876  | 0.180  | 0.000     | 0.000      | 0.000         | 0.000     |
| 21    | 0   | 21   | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/ngwords     | 0.008  | 0.272  | 2.748   | 0.131  | 0.216  | 0.240  | 0.272  | 0.068  | 5.000     | 143.000    | 501.000       | 23.857    |
| 18    | 0   | 18   | 0   | 0   | 0   | DELETE | /api/livestream/[0-9]+/exit        | 0.004  | 0.532  | 2.192   | 0.122  | 0.464  | 0.532  | 0.532  | 0.151  | 0.000     | 0.000      | 0.000         | 0.000     |
| 9     | 0   | 9    | 0   | 0   | 0   | GET    | /api/user/[0-9a-zA-Z]+             | 0.016  | 0.292  | 0.412   | 0.046  | 0.292  | 0.292  | 0.292  | 0.089  | 38.000    | 247.000    | 1154.000      | 128.222   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/statistics  | 0.008  | 0.008  | 0.016   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 100.000   | 102.000    | 202.000       | 101.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+             | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1448.000  | 1448.000   | 1448.000      | 1448.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/payment                       | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 21.000    | 21.000     | 21.000        | 21.000    |
+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
