+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                URI                 |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| 1664  | 0   | 1660 | 0   | 4   | 0   | GET    | /api/user/[0-9a-zA-Z]+/icon        | 0.004  | 1.212  | 167.344 | 0.101  | 0.244  | 0.352  | 0.716  | 0.136  | 0.000     | 171848.000 | 100218550.000 | 60227.494 |
| 208   | 0   | 207  | 0   | 1   | 0   | GET    | /api/livestream/[0-9]+/livecomment | 0.012  | 2.228  | 118.996 | 0.572  | 1.252  | 1.580  | 1.968  | 0.490  | 0.000     | 36740.000  | 2188946.000   | 10523.779 |
| 43    | 0   | 40   | 0   | 3   | 0   | GET    | /api/livestream/search             | 0.168  | 7.644  | 115.424 | 2.684  | 4.052  | 5.788  | 7.644  | 1.820  | 0.000     | 126604.000 | 2987785.000   | 69483.372 |
| 240   | 0   | 239  | 0   | 1   | 0   | GET    | /api/livestream/[0-9]+/reaction    | 0.004  | 2.040  | 101.860 | 0.424  | 1.116  | 1.376  | 1.872  | 0.468  | 0.000     | 33493.000  | 1800303.000   | 7501.262  |
| 18    | 0   | 17   | 0   | 1   | 0   | POST   | /api/livestream/[0-9]+/moderate    | 0.288  | 11.840 | 70.064  | 3.892  | 8.064  | 11.840 | 11.840 | 2.499  | 0.000     | 23.000     | 391.000       | 21.722    |
| 6     | 0   | 2    | 0   | 4   | 0   | GET    | /api/user/[0-9a-zA-Z]+/statistics  | 2.876  | 20.000 | 69.660  | 11.610 | 20.000 | 20.000 | 20.000 | 8.396  | 0.000     | 140.000    | 273.000       | 45.500    |
| 280   | 0   | 275  | 0   | 5   | 0   | POST   | /api/livestream/[0-9]+/livecomment | 0.000  | 0.868  | 66.036  | 0.236  | 0.384  | 0.464  | 0.648  | 0.120  | 0.000     | 2703.000   | 553742.000    | 1977.650  |
| 203   | 0   | 200  | 0   | 2   | 1   | POST   | /api/register                      | 0.008  | 1.272  | 47.572  | 0.234  | 0.400  | 0.624  | 0.868  | 0.172  | 0.000     | 504.000    | 93841.000     | 462.271   |
| 95    | 0   | 91   | 0   | 4   | 0   | POST   | /api/livestream/reservation        | 0.232  | 1.332  | 44.868  | 0.472  | 0.868  | 1.068  | 1.332  | 0.353  | 0.000     | 1448.000   | 102455.000    | 1078.474  |
